Year,exploitation,Value
2000,,0
2001,,0
2002,,0
2003,,0
2004,,0
2005,,0
2006,,0
2007,,0
2008,,0
2009,,0
2010,,0
2011,,0
2012,,0
2013,,0
2014,,443
2015,,965
2016,,1234
2000,com_sex_acts,0
2001,com_sex_acts,0
2002,com_sex_acts,0
2003,com_sex_acts,0
2004,com_sex_acts,0
2005,com_sex_acts,0
2006,com_sex_acts,0
2007,com_sex_acts,0
2008,com_sex_acts,0
2009,com_sex_acts,0
2010,com_sex_acts,0
2011,com_sex_acts,0
2012,com_sex_acts,0
2013,com_sex_acts,0
2014,com_sex_acts,300
2015,com_sex_acts,744
2016,com_sex_acts,1051
2000,invol_serv,0
2001,invol_serv,0
2002,invol_serv,0
2003,invol_serv,0
2004,invol_serv,0
2005,invol_serv,0
2006,invol_serv,0
2007,invol_serv,0
2008,invol_serv,0
2009,invol_serv,0
2010,invol_serv,0
2011,invol_serv,0
2012,invol_serv,0
2013,invol_serv,0
2014,invol_serv,141
2015,invol_serv,219
2016,invol_serv,183
