Year,sex,Value
2000,,46.0
2001,,49.0
2002,,50.8
2003,,47.5
2004,,50.3
2005,,45.8
2006,,46.6
2007,,44.9
2008,,46.4
2009,,44.1
2010,,51.1
2011,,49.0
2012,,44.2
2013,,45.6
2014,,46.0
2015,,46.5
2016,,42.1
2000,males,43.9
2001,males,48.4
2002,males,46.9
2003,males,44.9
2004,males,47.2
2005,males,42.0
2006,males,44.8
2007,males,43.6
2008,males,41.4
2009,males,39.9
2010,males,47.8
2011,males,41.8
2012,males,42.3
2013,males,44.4
2014,males,43.0
2015,males,45.4
2016,males,44.3
2000,females,48.8
2001,females,49.7
2002,females,54.9
2003,females,50.4
2004,females,53.8
2005,females,51.0
2006,females,48.9
2007,females,46.6
2008,females,51.9
2009,females,48.3
2010,females,54.6
2011,females,58.5
2012,females,47.3
2013,females,47.1
2014,females,49.7
2015,females,47.5
2016,females,40.2
