Year,sex,age,race_ethnicity,Value
2000,,,,0.0
2001,,,,0.0
2002,,,,0.0
2003,,,,0.0
2004,,,,0.0
2005,,,,0.0
2006,,,,0.0
2007,,,,1.5
2008,,,,1.3
2009,,,,1.1
2010,,,,1.1
2011,,,,0.9
2012,,,,0.9
2013,,,,1.0
2014,,,,0.9
2015,,,,1.1
2000,female,,,0.0
2001,female,,,0.0
2002,female,,,0.0
2003,female,,,0.0
2004,female,,,0.0
2005,female,,,0.0
2006,female,,,0.0
2007,female,,,1.1
2008,female,,,1.0
2009,female,,,0.8
2010,female,,,0.8
2011,female,,,0.7
2012,female,,,0.7
2013,female,,,0.7
2014,female,,,0.6
2015,female,,,0.8
2000,male,,,0.0
2001,male,,,0.0
2002,male,,,0.0
2003,male,,,0.0
2004,male,,,0.0
2005,male,,,0.0
2006,male,,,0.0
2007,male,,,1.9
2008,male,,,1.7
2009,male,,,1.4
2010,male,,,1.4
2011,male,,,1.2
2012,male,,,1.2
2013,male,,,1.2
2014,male,,,1.1
2015,male,,,1.3
2000,,lt_20_yrs,,0.0
2001,,lt_20_yrs,,0.0
2002,,lt_20_yrs,,0.0
2003,,lt_20_yrs,,0.0
2004,,lt_20_yrs,,0.0
2005,,lt_20_yrs,,0.0
2006,,lt_20_yrs,,0.0
2007,,lt_20_yrs,,0.1
2008,,lt_20_yrs,,0.09
2009,,lt_20_yrs,,0.06
2010,,lt_20_yrs,,0.06
2011,,lt_20_yrs,,0.04
2012,,lt_20_yrs,,0.03
2013,,lt_20_yrs,,0.03
2014,,lt_20_yrs,,0.02
2015,,lt_20_yrs,,0.02
2000,,20_29_yrs,,0.0
2001,,20_29_yrs,,0.0
2002,,20_29_yrs,,0.0
2003,,20_29_yrs,,0.0
2004,,20_29_yrs,,0.0
2005,,20_29_yrs,,0.0
2006,,20_29_yrs,,0.0
2007,,20_29_yrs,,2.5
2008,,20_29_yrs,,2.2
2009,,20_29_yrs,,1.7
2010,,20_29_yrs,,1.7
2011,,20_29_yrs,,1.5
2012,,20_29_yrs,,1.5
2013,,20_29_yrs,,1.6
2014,,20_29_yrs,,1.4
2015,,20_29_yrs,,1.7
2000,,40_59_yrs,,0.0
2001,,40_59_yrs,,0.0
2002,,40_59_yrs,,0.0
2003,,40_59_yrs,,0.0
2004,,40_59_yrs,,0.0
2005,,40_59_yrs,,0.0
2006,,40_59_yrs,,0.0
2007,,40_59_yrs,,2.3
2008,,40_59_yrs,,2.1
2009,,40_59_yrs,,1.8
2010,,40_59_yrs,,1.7
2011,,40_59_yrs,,1.5
2012,,40_59_yrs,,1.5
2013,,40_59_yrs,,1.6
2014,,40_59_yrs,,1.6
2015,,40_59_yrs,,1.9
2000,,gt_59_yrs,,0.0
2001,,gt_59_yrs,,0.0
2002,,gt_59_yrs,,0.0
2003,,gt_59_yrs,,0.0
2004,,gt_59_yrs,,0.0
2005,,gt_59_yrs,,0.0
2006,,gt_59_yrs,,0.0
2007,,gt_59_yrs,,0.8
2008,,gt_59_yrs,,0.7
2009,,gt_59_yrs,,0.7
2010,,gt_59_yrs,,0.7
2011,,gt_59_yrs,,0.5
2012,,gt_59_yrs,,0.4
2013,,gt_59_yrs,,0.4
2014,,gt_59_yrs,,0.4
2015,,gt_59_yrs,,0.5
