Year,source,Value
2000,,30.51
2001,,29.4
2002,,27.07
2003,,26.48
2004,,26.64
2005,,28.02
2006,,28.93
2007,,29.07
2008,,27.97
2009,,25.66
2010,,26.31
2011,,26.63
2012,,26.69
2013,,28.91
2014,,28.88
2015,,29.03
2016,,28.53
2000,crnt_tx_rcpts,21.46
2001,crnt_tx_rcpts,20.41
2002,crnt_tx_rcpts,18.28
2003,crnt_tx_rcpts,17.85
2004,crnt_tx_rcpts,18.06
2005,crnt_tx_rcpts,19.52
2006,crnt_tx_rcpts,20.34
2007,crnt_tx_rcpts,20.47
2008,crnt_tx_rcpts,19.36
2009,crnt_tx_rcpts,16.92
2010,crnt_tx_rcpts,17.76
2011,crnt_tx_rcpts,18.83
2012,crnt_tx_rcpts,19.05
2013,crnt_tx_rcpts,19.8
2014,crnt_tx_rcpts,20.21
2015,crnt_tx_rcpts,20.48
2016,crnt_tx_rcpts,20.02
2000,ctrbtns_govt_soc_ins,6.9
2001,ctrbtns_govt_soc_ins,6.94
2002,ctrbtns_govt_soc_ins,6.88
2003,ctrbtns_govt_soc_ins,6.8
2004,ctrbtns_govt_soc_ins,6.79
2005,ctrbtns_govt_soc_ins,6.71
2006,ctrbtns_govt_soc_ins,6.69
2007,ctrbtns_govt_soc_ins,6.67
2008,ctrbtns_govt_soc_ins,6.75
2009,ctrbtns_govt_soc_ins,6.72
2010,ctrbtns_govt_soc_ins,6.61
2011,ctrbtns_govt_soc_ins,5.94
2012,ctrbtns_govt_soc_ins,5.92
2013,ctrbtns_govt_soc_ins,6.65
2014,ctrbtns_govt_soc_ins,6.66
2015,ctrbtns_govt_soc_ins,6.7
2016,ctrbtns_govt_soc_ins,6.71
2000,inc_rcpts_asts,1.16
2001,inc_rcpts_asts,1.09
2002,inc_rcpts_asts,0.91
2003,inc_rcpts_asts,0.85
2004,inc_rcpts_asts,0.83
2005,inc_rcpts_asts,0.88
2006,inc_rcpts_asts,0.98
2007,inc_rcpts_asts,1.05
2008,inc_rcpts_asts,0.95
2009,inc_rcpts_asts,0.95
2010,inc_rcpts_asts,0.92
2011,inc_rcpts_asts,0.87
2012,inc_rcpts_asts,0.79
2013,inc_rcpts_asts,1.43
2014,inc_rcpts_asts,0.86
2015,inc_rcpts_asts,0.69
2016,inc_rcpts_asts,0.67
2000,crnt_trnsfr_rcpts,0.89
2001,crnt_trnsfr_rcpts,0.92
2002,crnt_trnsfr_rcpts,0.94
2003,crnt_trnsfr_rcpts,0.95
2004,crnt_trnsfr_rcpts,0.98
2005,crnt_trnsfr_rcpts,0.96
2006,crnt_trnsfr_rcpts,0.98
2007,crnt_trnsfr_rcpts,0.99
2008,crnt_trnsfr_rcpts,1.06
2009,crnt_trnsfr_rcpts,1.22
2010,crnt_trnsfr_rcpts,1.17
2011,crnt_trnsfr_rcpts,1.14
2012,crnt_trnsfr_rcpts,1.05
2013,crnt_trnsfr_rcpts,1.15
2014,crnt_trnsfr_rcpts,1.25
2015,crnt_trnsfr_rcpts,1.24
2016,crnt_trnsfr_rcpts,1.17
2000,crnt_srpls_govt_entrprs,0.1
2001,crnt_srpls_govt_entrprs,0.05
2002,crnt_srpls_govt_entrprs,0.06
2003,crnt_srpls_govt_entrprs,0.03
2004,crnt_srpls_govt_entrprs,-0.01
2005,crnt_srpls_govt_entrprs,-0.05
2006,crnt_srpls_govt_entrprs,-0.07
2007,crnt_srpls_govt_entrprs,-0.11
2008,crnt_srpls_govt_entrprs,-0.14
2009,crnt_srpls_govt_entrprs,-0.14
2010,crnt_srpls_govt_entrprs,-0.15
2011,crnt_srpls_govt_entrprs,-0.16
2012,crnt_srpls_govt_entrprs,-0.12
2013,crnt_srpls_govt_entrprs,-0.13
2014,crnt_srpls_govt_entrprs,-0.1
2015,crnt_srpls_govt_entrprs,-0.08
2016,crnt_srpls_govt_entrprs,-0.05
