Year,sex,disability_status,urbanicity,Value
2007,,,,0
2008,,,,0
2009,,,,0
2010,,,,0
2011,,,,0
2012,,,,66
2013,,,,0
2014,,,,0
2015,,,,0
2007,i4_7_1_male,,,0
2008,i4_7_1_male,,,0
2009,i4_7_1_male,,,0
2010,i4_7_1_male,,,0
2011,i4_7_1_male,,,0
2012,i4_7_1_male,,,67
2013,i4_7_1_male,,,0
2014,i4_7_1_male,,,0
2015,i4_7_1_male,,,0
2007,i4_7_1_female,,,0
2008,i4_7_1_female,,,0
2009,i4_7_1_female,,,0
2010,i4_7_1_female,,,0
2011,i4_7_1_female,,,0
2012,i4_7_1_female,,,66
2013,i4_7_1_female,,,0
2014,i4_7_1_female,,,0
2015,i4_7_1_female,,,0
2007,,i4_7_1_disabilities,,0
2008,,i4_7_1_disabilities,,0
2009,,i4_7_1_disabilities,,0
2010,,i4_7_1_disabilities,,0
2011,,i4_7_1_disabilities,,0
2012,,i4_7_1_disabilities,,66
2013,,i4_7_1_disabilities,,0
2014,,i4_7_1_disabilities,,0
2015,,i4_7_1_disabilities,,0
2007,,i4_7_1_nodisabilities,,0
2008,,i4_7_1_nodisabilities,,0
2009,,i4_7_1_nodisabilities,,0
2010,,i4_7_1_nodisabilities,,0
2011,,i4_7_1_nodisabilities,,0
2012,,i4_7_1_nodisabilities,,66
2013,,i4_7_1_nodisabilities,,0
2014,,i4_7_1_nodisabilities,,0
2015,,i4_7_1_nodisabilities,,0
2007,,,i4_7_1_urban,0
2008,,,i4_7_1_urban,0
2009,,,i4_7_1_urban,0
2010,,,i4_7_1_urban,0
2011,,,i4_7_1_urban,0
2012,,,i4_7_1_urban,75
2013,,,i4_7_1_urban,0
2014,,,i4_7_1_urban,0
2015,,,i4_7_1_urban,0
2007,,,i4_7_1_suburban,0
2008,,,i4_7_1_suburban,0
2009,,,i4_7_1_suburban,0
2010,,,i4_7_1_suburban,0
2011,,,i4_7_1_suburban,0
2012,,,i4_7_1_suburban,63
2013,,,i4_7_1_suburban,0
2014,,,i4_7_1_suburban,0
2015,,,i4_7_1_suburban,0
2007,,,i4_7_1_town,0
2008,,,i4_7_1_town,0
2009,,,i4_7_1_town,0
2010,,,i4_7_1_town,0
2011,,,i4_7_1_town,0
2012,,,i4_7_1_town,54
2013,,,i4_7_1_town,0
2014,,,i4_7_1_town,0
2015,,,i4_7_1_town,0
2007,,,i4_7_1_rural,0
2008,,,i4_7_1_rural,0
2009,,,i4_7_1_rural,0
2010,,,i4_7_1_rural,0
2011,,,i4_7_1_rural,0
2012,,,i4_7_1_rural,65
2013,,,i4_7_1_rural,0
2014,,,i4_7_1_rural,0
2015,,,i4_7_1_rural,0
