Year,sex,Value
2000,,66
2001,,69
2002,,64
2003,,64
2004,,67
2005,,62
2006,,63
2007,,62
2008,,63
2009,,66
2010,,63
2011,,61
2012,,0
2013,,65
2014,,63
2015,,64
2016,,64
2017,,69
2000,male,0
2001,male,0
2002,male,0
2003,male,0
2004,male,79
2005,male,76
2006,male,75
2007,male,74
2008,male,72
2009,male,78
2010,male,78
2011,male,70
2012,male,0
2013,male,76
2014,male,73
2015,male,0
2016,male,0
2017,male,0
2000,female,0
2001,female,0
2002,female,0
2003,female,0
2004,female,57
2005,female,50
2006,female,52
2007,female,53
2008,female,55
2009,female,55
2010,female,50
2011,female,54
2012,female,0
2013,female,56
2014,female,55
2015,female,0
2016,female,0
2017,female,0
